Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
1;16.0;22.0;0.5;5;80;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;510.36;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
2;16.0;22.0;0.5;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
3;16.0;22.0;0.5;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
4;16.0;22.0;0.5;5;100;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;632.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
5;16.0;22.0;0.5;8;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
6;16.0;22.0;0.5;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
7;16.0;22.0;0.5;5;80;6;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;500.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;0.44;-7.28;;
8;16.0;22.0;0.5;8;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;0.44;-7.28;;
9;16.0;22.0;0.5;10;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;0.44;-7.28;;
10;16.0;22.0;0.5;5;100;6;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;617.04;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;0.55;-7.36;;
11;16.0;22.0;0.5;8;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;0.55;-7.36;;
12;16.0;22.0;0.5;10;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;0.51;-7.65;0.54;-7.52;0.55;-7.36;;
13;16.0;22.0;0.5;5;80;7;Successful;Effective;collision;19.51;vtypeauto.1;vtypeauto.0;494.49;edge_0_0_0;0.0;-7.0;0.2;-8.11;0.31;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;0.44;-8.29;;
14;16.0;22.0;0.5;8;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.31;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;0.44;-8.29;;
15;16.0;22.0;0.5;10;80;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.2;-8.11;0.31;-8.69;0.38;-8.9;0.41;-8.89;0.43;-8.62;0.44;-8.29;;
16;16.0;22.0;0.5;5;100;7;Successful;Effective;collision;19.59;vtypeauto.1;vtypeauto.0;608.39;edge_0_0_0;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;0.55;-8.57;;
17;16.0;22.0;0.5;8;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;0.55;-8.57;;
18;16.0;22.0;0.5;10;100;7;Successful;Effective;No;No;No;No;No;No;0.0;-7.0;0.25;-8.11;0.39;-8.7;0.47;-8.92;0.51;-8.91;0.54;-8.75;0.55;-8.57;;
19;16.0;22.0;0.5;5;80;8;Successful;Effective;collision;19.23;vtypeauto.1;vtypeauto.0;490.33;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-9.0;;
20;16.0;22.0;0.5;8;80;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-9.0;;
21;16.0;22.0;0.5;10;80;8;Successful;Effective;No;No;No;No;No;No;0.0;-7.99;0.2;-9.0;0.31;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-9.0;;
22;16.0;22.0;0.5;5;100;8;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;602.41;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;;
23;16.0;22.0;0.5;8;100;8;Successful;Effective;collision;20.51;vtypeauto.1;vtypeauto.0;630.65;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;;
24;16.0;22.0;0.5;10;100;8;Successful;Effective;No;No;No;No;No;No;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;;
25;16.1;22.1;0.5;5;80;5;Successful;Effective;collision;20.82;vtypeauto.1;vtypeauto.0;510.36;edge_0_0_0;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
26;16.1;22.1;0.5;8;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
27;16.1;22.1;0.5;10;80;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.2;-5.8;0.31;-6.22;0.38;-6.37;0.41;-6.37;0.43;-6.26;0.44;-6.13;;
28;16.1;22.1;0.5;5;100;5;Successful;Effective;collision;21.04;vtypeauto.1;vtypeauto.0;632.80;edge_0_0_0;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
29;16.1;22.1;0.5;8;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
30;16.1;22.1;0.5;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-5.8;0.39;-6.23;0.47;-6.39;0.51;-6.39;0.54;-6.28;0.55;-6.15;;
31;16.1;22.1;0.5;5;80;6;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;500.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;0.41;-7.63;0.43;-7.5;0.44;-7.28;;
